Date,Close,Average,Volume
1927/2/1,-1.801,0.499,251586300
1927/3/1,0.848,0.671,110678400
1927/4/1,1.343,0.703,78337000
1927/5/1,4.237,0.734,97312600
1927/6/1,10.502,0.481,83992300
1927/7/1,18.263,0.4,70033600
1927/8/1,17.178,0.535,51186800
1927/9/1,11.601,0.672,70522900
1927/10/1,5.657,0.293,84000000
1927/11/1,0.174,0.342,80500000
1927/12/1,-4.176,0.74,81529000
1928/1/1,-2.294,0.583,112443800
1928/2/1,-2.717,0.477,113083600
1928/3/1,-2.162,0.687,83694100
1928/4/1,2.017,0.281,65292500
1928/5/1,6.084,0.517,84492100
1928/6/1,8.776,0.495,95900000
1928/7/1,12.951,0.44,80481800
1928/8/1,13.56,0.223,73556000
1928/9/1,10.946,0.409,55640200
1928/10/1,6.699,0.344,50899800
1928/11/1,4.141,0.248,104438600
1928/12/1,0.447,0.483,138670700
1929/1/1,-3.598,0.507,84695800
1929/2/1,-9.446,0.769,78312500
1929/3/1,-0.381,0.74,115485300
1929/4/1,-0.866,0.862,132446300
1929/5/1,7.01,0.753,83430900
1929/6/1,10.477,0.441,68772200
1929/7/1,14.052,0.261,108488800
1929/8/1,14.081,0.328,82368300
1929/9/1,11.638,0.356,83642300
1929/10/1,7.751,0.28,99799000
1929/11/1,5.479,0.617,127647800
1929/12/1,4.58,0.712,153755000
1930/1/1,3.218,0.691,160161400
1930/2/1,-1.521,0.295,123345600
1930/3/1,0.605,0.326,97645800
1930/4/1,3.843,0.39,139939800
1930/5/1,8.931,0.279,109951800
1930/6/1,13.467,0.609,84953400
1930/7/1,17.038,0.585,73574900
1930/8/1,16.158,0.535,88136300
1930/9/1,9.972,0.653,80738700
1930/10/1,7.687,0.281,108828300
1930/11/1,3.501,0.262,88763500
1930/12/1,1.314,0.605,111156500
1931/1/1,-3.368,0.526,99915900
1931/2/1,-4.048,0.416,122408300
1931/3/1,-4.682,0.557,110668600
1931/4/1,0.645,0.262,112902300
1931/5/1,7.839,0.707,97909700
1931/6/1,9.802,0.505,107633400
1931/7/1,15.285,0.823,121116800
1931/8/1,14.864,0.33,143163300
1931/9/1,8.7,0.514,204786400
1931/10/1,5.896,0.337,235335100
1931/11/1,4.573,0.693,131633600
1931/12/1,-0.284,0.467,129182200
1932/1/1,1.961,0.983,147451500
1932/2/1,-2.631,0.661,119145600
1932/3/1,-3.067,0.439,164831100
1932/4/1,1.741,0.243,148508500
1932/5/1,6.986,0.549,158146100
1932/6/1,10.102,0.297,153209000
1932/7/1,17.451,0.211,159884900
1932/8/1,15.836,0.39,183127000
1932/9/1,11.682,0.271,217851900
1932/10/1,5.473,0.411,301147700
1932/11/1,3.664,0.279,285958400
1932/12/1,3.952,0.849,270645900
1933/1/1,-1.038,0.245,219664200
1933/2/1,-3.544,0.408,185492300
1933/3/1,-0.266,0.46,132244000
1933/4/1,1.761,0.449,115136000
1933/5/1,6.146,0.358,124687500
1933/6/1,13.389,0.294,110515300
1933/7/1,16.877,0.397,212858800
1933/8/1,15.15,0.316,193972100
1933/9/1,12.008,0.292,133828800
1933/10/1,7.575,0.451,164208800
1933/11/1,1.768,0.58,156566900
1933/12/1,-1.587,0.796,217836500
1934/1/1,1.507,0.557,160369300
1934/2/1,0.37,0.529,101317300
1934/3/1,-0.212,0.315,104480600
1934/4/1,3.029,0.452,130646600
1934/5/1,9.249,0.31,85931300
1934/6/1,12.454,0.455,109734800
1934/7/1,15.672,0.259,127424500
1934/8/1,16.676,0.379,87644200
1934/9/1,14.972,0.365,104039600
1934/10/1,8.972,0.304,141203300
1934/11/1,4.672,0.297,116958100
1934/12/1,3.051,0.617,110140100
1935/1/1,-1.564,0.384,133681100
1935/2/1,-1.208,0.347,104454700
1935/3/1,-0.958,0.448,174628300
1935/4/1,2.619,0.489,205965200
1935/5/1,5.414,0.727,193938500
1935/6/1,13.057,0.447,151494000
1935/7/1,15.722,0.323,242120200
1935/8/1,14.79,0.355,136569300
1935/9/1,11.177,0.34,203219100
1935/10/1,7.618,0.192,158124400
1935/11/1,5.343,0.445,107409400
1935/12/1,1.608,0.401,162771700
1936/1/1,-0.968,0.575,136910200
1936/2/1,-5.697,0.636,167274800
1936/3/1,-0.452,0.642,308419300
1936/4/1,1.608,0.221,196617400
1936/5/1,7.76,0.482,203145600
1936/6/1,15.551,0.43,133864500
1936/7/1,17.393,0.309,110628700
1936/8/1,15.73,0.481,151421900
1936/9/1,10.846,0.318,155571500
1936/10/1,4.864,0.478,106546300
1936/11/1,4.531,0.304,143341800
1936/12/1,4.162,0.666,171511200
1937/1/1,-1.269,0.35,220400600
1937/2/1,-3.859,0.637,276014900
1937/3/1,-2.353,0.46,137317600
1937/4/1,3.812,0.939,155311100
1937/5/1,9.695,0.834,125534500
1937/6/1,13.579,0.273,107606800
1937/7/1,17.466,0.426,114076200
1937/8/1,18.132,0.282,123666200
1937/9/1,12.644,0.229,80710700
1937/10/1,8.801,0.215,96375300
1937/11/1,4.077,0.25,132947500
1937/12/1,-2.975,0.868,81837700
1938/1/1,-0.802,0.518,110346600
1938/2/1,0.93,0.482,75557300
1938/3/1,2.577,0.764,67568900
1938/4/1,2.565,0.595,100110500
1938/5/1,6.954,0.587,139671000
1938/6/1,11.828,0.603,186188100
1938/7/1,16.653,0.376,163446500
1938/8/1,17.495,0.459,108226300
1938/9/1,13.694,0.283,107702700
1938/10/1,8.704,0.403,87302600
1938/11/1,6.455,0.444,119975100
1938/12/1,0.472,0.375,92984500
1939/1/1,-1.376,0.553,111995100
1939/2/1,2.071,0.717,102255300
1939/3/1,-0.612,0.331,107067800
1939/4/1,2.346,0.743,63690200
1939/5/1,6.989,0.462,86603300
1939/6/1,12.604,0.281,93963800
1939/7/1,16.492,0.212,101484600
1939/8/1,18.827,0.339,96795300
1939/9/1,11.6,0.945,94763900
1939/10/1,4.212,0.701,89302500
1939/11/1,4.321,0.433,70899500
1939/12/1,-2.302,0.617,76186600
1940/1/1,-7.416,0.983,94089100
1940/2/1,-11.055,0.488,74248300
1940/3/1,-6.619,0.555,75266800
1940/4/1,0.386,0.488,84732200
1940/5/1,8.086,0.885,101721900
1940/6/1,13.285,0.351,64050000
1940/7/1,16.755,0.373,105369600
1940/8/1,14.506,0.293,58882600
1940/9/1,10.491,0.287,84303800
1940/10/1,6.545,0.424,65737000
1940/11/1,3.541,0.344,50589700
1940/12/1,-1.748,0.521,67349800
1941/1/1,-9.854,1.48,66269000
1941/2/1,-6.804,0.757,57165500
1941/3/1,-3.766,0.68,53994500
1941/4/1,-0.793,0.467,44915500
1941/5/1,5.694,0.282,75555200
1941/6/1,11.577,0.391,65005500
1941/7/1,18.682,0.603,67817400
1941/8/1,15.003,0.445,79573200
1941/9/1,10.722,0.257,98506100
1941/10/1,4.568,0.593,64549100
1941/11/1,0.947,0.541,53771200
1941/12/1,-3.755,1.205,53146800
1942/1/1,-11.303,0.909,56505400
1942/2/1,-10.822,0.74,60724300
1942/3/1,-8.257,1.034,69197800
1942/4/1,1.476,0.924,65434600
1942/5/1,5.456,0.416,103493600
1942/6/1,10.391,0.336,76515600
1942/7/1,14.662,0.413,136909500
1942/8/1,15.821,0.273,239578500
1942/9/1,11.773,0.254,80996300
1942/10/1,7.753,0.486,74927300
1942/11/1,2.752,0.358,94835300
1942/12/1,0.542,0.267,97920900
1943/1/1,-3.496,0.543,67511500
1943/2/1,1.622,0.803,46699100
1943/3/1,1.73,0.362,71649900
1943/4/1,4.111,0.582,62353200
1943/5/1,8.19,0.37,79055900
1943/6/1,13.33,0.267,101972500
1943/7/1,15.274,0.324,221053700
1943/8/1,14.768,0.32,157825500
1943/9/1,12.027,0.326,129304000
1943/10/1,9.156,0.353,115099600
1943/11/1,3.972,0.487,376530000
1943/12/1,2.266,0.646,236138000
1944/1/1,-0.679,0.679,133951300
1944/2/1,-1.326,0.275,151398800
1944/3/1,-1.358,0.266,120825600
1944/4/1,0.697,0.872,142006900
1944/5/1,5.83,0.382,103768000
1944/6/1,10.624,0.557,136895500
1944/7/1,17.301,0.373,150096800
1944/8/1,17.363,0.556,238002800
1944/9/1,11.726,0.207,170817500
1944/10/1,8.131,0.297,107928100
1944/11/1,3.843,0.28,202281100
1944/12/1,2.897,0.3,202559700
1945/1/1,-2.342,0.556,199630200
1945/2/1,-1.137,0.48,129114300
1945/3/1,-0.14,0.648,104729800
1945/4/1,3.182,0.175,101820600
1945/5/1,6.753,0.294,172713800
1945/6/1,11.568,0.495,354711000
1945/7/1,17.552,0.343,289929500
1945/8/1,17.034,0.395,206371900
1945/9/1,10.519,0.521,225309000
1945/10/1,6.005,0.659,204165500
1945/11/1,2.655,0.32,161010500
1945/12/1,-1.82,0.78,155967700
1946/1/1,-1.744,0.36,107622200
1946/2/1,-5.062,0.273,148935500
1946/3/1,-2.501,0.57,151782400
1946/4/1,3.389,0.662,163865100
1946/5/1,7.095,0.171,152059600
1946/6/1,11.712,0.242,182759500
1946/7/1,16.915,0.276,149587900
1946/8/1,15.397,0.252,208639900
1946/9/1,12.793,0.29,143245200
1946/10/1,5.498,0.681,160324500
1946/11/1,3.414,0.26,149384200
1946/12/1,1.243,0.387,222431300
1947/1/1,-3.177,0.357,174153700
1947/2/1,-10.829,0.339,153584200
1947/3/1,-5.992,0.718,214911200
1947/4/1,2.127,0.56,262696700
1947/5/1,8.689,0.826,256382000
1947/6/1,14.101,0.256,238632800
1947/7/1,16.916,0.204,208679800
1947/8/1,16.753,0.35,257746300
1947/9/1,13.918,0.21,241632300
1947/10/1,6.565,0.27,269037300
1947/11/1,1.54,0.287,226444400
1947/12/1,-0.943,0.434,134017100
1948/1/1,-4.641,0.867,101680600
1948/2/1,-3.767,0.744,126536200
1948/3/1,0.743,0.693,152749800
1948/4/1,3.959,0.599,106847300
