dt,Country,AverageTemperature,TemperatureDifference
1915,Saint Barthélemy,26.622333333333334,0.24266666666666836
1916,Saint Barthélemy,26.19458333333333,-0.4277500000000032
1917,Saint Barthélemy,26.043666666666667,-0.1509166666666637
1918,Saint Barthélemy,26.308166666666665,0.2644999999999982
1919,Saint Barthélemy,26.57025,0.26208333333333655
1920,Saint Barthélemy,26.415000000000003,-0.15524999999999878
1921,Saint Barthélemy,26.43241666666667,0.017416666666665748
1922,Saint Barthélemy,26.287916666666664,-0.1445000000000043
1923,Saint Barthélemy,26.34583333333333,0.05791666666666728
1924,Saint Barthélemy,26.494,0.14816666666666833
1925,Saint Barthélemy,26.318250000000003,-0.1757499999999972
1926,Saint Barthélemy,26.77058333333333,0.45233333333332837
1927,Saint Barthélemy,26.53475,-0.235833333333332
1928,Saint Barthélemy,26.69775,0.16300000000000026
1929,Saint Barthélemy,26.38658333333333,-0.3111666666666686
1930,Saint Barthélemy,26.738416666666662,0.35183333333333167
1931,Saint Barthélemy,26.97083333333333,0.23241666666666916
1932,Saint Barthélemy,26.73858333333333,-0.2322500000000005
1933,Saint Barthélemy,26.436166666666665,-0.3024166666666659
1934,Saint Barthélemy,26.394500000000004,-0.041666666666660745
1935,Saint Barthélemy,26.489083333333337,0.09458333333333258
1936,Saint Barthélemy,26.59266666666667,0.10358333333333292
1937,Saint Barthélemy,26.761083333333332,0.168416666666662
1938,Saint Barthélemy,26.368583333333333,-0.3924999999999983
1939,Saint Barthélemy,26.620666666666665,0.25208333333333144
1940,Saint Barthélemy,26.828666666666667,0.20800000000000196
1941,Saint Barthélemy,27.09,0.261333333333333
1942,Saint Barthélemy,26.999666666666663,-0.09033333333333715
1943,Saint Barthélemy,26.541833333333333,-0.45783333333332976
1944,Saint Barthélemy,26.58175,0.0399166666666666
1945,Saint Barthélemy,26.40008333333333,-0.18166666666666842
1946,Saint Barthélemy,26.653166666666667,0.2530833333333362
1947,Saint Barthélemy,26.911,0.257833333333334
1948,Saint Barthélemy,26.84733333333333,-0.06366666666666987
1949,Saint Barthélemy,26.413083333333333,-0.4342499999999987
1950,Saint Barthélemy,26.266416666666668,-0.14666666666666472
1951,Saint Barthélemy,26.69525,0.4288333333333334
